show_id,type,title,director,country,date_added,release_year,rating,durations,listed_in,description
s0001,Movie,Title 1,Steven Spielberg,Mexico,"January 05, 2022",2019,R,141 min,Documentaries,Sample description for Title 1.
s0002,Movie,Title 2,Ken Burns,Canada,"September 12, 2019",2012,PG-13,173 min,Horror,Sample description for Title 2.
s0003,Movie,Title 3,Martin Scorsese,Brazil,"September 29, 2021",2011,PG-13,174 min,Crime,Sample description for Title 3.
s0004,Movie,Title 4,Jay Karas,Canada,"April 02, 2018",2013,TV-14,91 min,International Movies,Sample description for Title 4.
s0005,Movie,Title 5,Marcus Raboy,Mexico,"December 27, 2018",2016,TV-14,114 min,Romantic,Sample description for Title 5.
s0006,Movie,Title 6,Marcus Raboy,United States,"August 21, 2019",2016,PG,134 min,Drama,Sample description for Title 6.
s0007,Movie,Title 7,Youssef Chahine,Japan,"May 16, 2020",2025,PG,175 min,International Movies,Sample description for Title 7.
s0008,Movie,Title 8,Youssef Chahine,South Korea,"March 01, 2020",2019,TV-MA,111 min,Comedy,Sample description for Title 8.
s0009,Movie,Title 9,Ava DuVernay,Brazil,"February 10, 2018",2012,TV-14,146 min,Crime,Sample description for Title 9.
s0010,Movie,Title 10,Rajiv Chilaka,Brazil,"August 02, 2023",2016,TV-MA,120 min,Children & Family,Sample description for Title 10.
s0011,Movie,Title 11,Rajiv Chilaka,South Korea,"February 15, 2021",2016,PG-13,115 min,Drama,Sample description for Title 11.
s0012,Movie,Title 12,Rajiv Chilaka,South Korea,"March 12, 2024",2014,TV-14,167 min,Horror,Sample description for Title 12.
s0013,Movie,Title 13,Steven Spielberg,United States,"July 21, 2020",2022,R,172 min,Documentaries,Sample description for Title 13.
s0014,Movie,Title 14,Martin Scorsese,South Korea,"March 19, 2020",2018,TV-MA,132 min,Documentaries,Sample description for Title 14.
s0015,Movie,Title 15,Ava DuVernay,Spain,"January 05, 2024",2019,TV-PG,174 min,Drama,Sample description for Title 15.
s0016,Movie,Title 16,Steven Spielberg,United States,"September 29, 2022",2025,PG-13,152 min,Romantic,Sample description for Title 16.
s0017,Movie,Title 17,Rajiv Chilaka,South Korea,"April 03, 2019",2016,TV-PG,105 min,Crime,Sample description for Title 17.
